Galaxy Number,Name,RA H, RA M, RA S,Dec,Arcmin, Arcsec, LambdaH,LambdaK
1,1202 3127,12,2,10.2,31,27,20,,
2,NGC 4080,12,2,18.5,27,16,15,,
3,NGC 4104,12,4,6,28,27,10,,
4,NGC 4131,12,6,12,29,35,0,4018.098472,3982.1977
5,NGC 4132,12,6,30,29,31,0,4023.258789,3987.415218
6,NGC 4134,12,6,36,29,27,0,4018.471357,3983.255666
7,1206 3151,12,6,36,31,51,0,4057.82578,4022.2742
8,NGC 4136,12,6,48,30,12,0,3977.045126,3941.964783
9,NGC 4150,12,8,0,30,41,0,3971.287049,3936.602724
10,NGC 4173,12,9,48,29,29,0,3983.354039,3948.369734
11,NGC 4174,12,9,54,29,25,0,4020.655377,3985.308891
12,NGC 4175,12,9,59.1,29,26,48,4020.698377,3984.806512
13,NGC 4185,12,10,48,28,47,0,4020.920411,3984.730967
14,NGC 4196,12,11,54,28,42,0,4022.560825,3986.489904
15,NGC 4211A,12,13,4.2,28,27,18,4057.111052,4021.025797
16,1214 2900,12,14,12,29,0,27,3985.461148,3950.626218
17,NGC 4245,12,15,6,29,53,0,3980.334894,3945.310629
18,NGC 4251,12,15,36,28,27,0,3982.326555,3947.674109
19,NGC 4253,12,15,55.6,30,5,26,4019.926063,3984.072263
20,IC 777,12,16,54,28,35,0,4001.255189,3965.608547
21,NGC 4274,12,17,18,29,53,0,3980.319712,3944.958185
22,NGC 4272,12,17,18,30,37,0,4080.822251,4044.58523
23,NGC 4275,12,17,24,27,54,0,3998.465273,3963.106305
24,NGC 4278,12,17,36.2,29,33,31,3976.784462,3941.46744
25,NGC 4283,12,17,49.8,29,35,12,3969.738855,3934.539366
26,1217 3127,12,17,54,31,27,0,4057.208751,4021.800783
27,NGC 4286,12,18,12,29,38,0,3976.87712,3941.927836
28,NGC 4308,12,19,24,30,20,0,3976.994327,3941.711475
29,NGC 4310,12,19,54,29,29,0,3980.435172,3945.324924
30,NGC 4314,12,20,0,30,10,0,3981.339209,3946.191422
31,NGC 4359,12,21,42,31,48,0,3984.808019,3949.375979
32,NGC 4375,12,22,30.6,28,50,6,4088.826131,4052.65374
33,NGC 4393,12,23,18,27,50,0,3978.676413,3943.263182
34,NGC 4414,12,24,0,31,30,0,3977.911832,3942.551338
35,IC 3376,12,25,18,27,16,0,4063.102021,4026.795423
36,NGC 4448,12,25,48,28,54,0,3977.933337,3942.391471
37,IC 3407,12,26,30,28,4,0,4061.614489,4025.280677
38,NGC 4475,12,27,18,27,32,0,4066.125088,4029.722675
39,NGC 4495,12,28,54,29,25,0,4028.030161,3992.343246
40,1229 2959,12,29,18,29,59,0,3977.448131,3942.612288
41,NGC 4514,12,30,6,30,0,0,4076.34363,4039.942852
42,NGC 4525,12,31,18,30,34,0,3984.481917,3949.030928
43,NGC 4556,12,33,18,27,11,0,4067.122199,4030.707397
44,NGC 4559,12,33,30,28,14,0,3979.077154,3943.64892
45,NGC 4585,12,35,42,29,13,0,4065.324357,4029.25525
